FTTB events 2026-07-30T09:00:00 -> 2026-08-06T09:00:00
Total: 241

      id                start_time                  end_time                                                                                                                                                                                                                                                                                                                                                                                                                                                           resource
A1050797 2026-08-05 21:41:00+03:00 2026-08-05 21:45:00+03:00                                                                                                                              FTTB_pe05.KK12.Moscow_Bundle-Ether97.4(2), FTTB_pe02.Kostroma_Bundle-Ether8402.4(2), FTTB_pe01.Kostroma_Bundle-Ether8402.4(2), FTTB_pe02.Tyumen_Bundle-Ether20(2), FTTB_pe02.Togliatti_Bundle-Ether301.24(2), FTTB_pe02.Smolensk_Bundle-Ether8402.4(2), FTTB_pe01.Togliatti_Bundle-Ether300.23(2), FTTB_pe01.Tyumen_Bundle-Ether20(2)
A1047138 2026-08-02 19:06:00+03:00 2026-08-02 19:15:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047133 2026-08-02 19:01:00+03:00 2026-08-02 19:05:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047132 2026-08-02 19:01:00+03:00 2026-08-02 19:05:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047128 2026-08-02 18:55:00+03:00 2026-08-02 19:00:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047127 2026-08-02 18:55:00+03:00 2026-08-02 19:00:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047119 2026-08-02 18:33:00+03:00 2026-08-02 18:54:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047118 2026-08-02 18:33:00+03:00 2026-08-02 18:54:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047092 2026-08-02 17:56:00+03:00 2026-08-02 18:32:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047091 2026-08-02 17:56:00+03:00 2026-08-02 18:32:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047085 2026-08-02 17:39:00+03:00 2026-08-02 17:50:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
